en,vi,length,translate,bleu_score,meteor
"Breyer is a member of the Council on Foreign Relations, Pacific Community Ventures, and TechNet.","Breyer là thành viên của Hội đồng Quan hệ Đối ngoại, Pacific Community Ventures, và TechNet.",15,"Breyer là thành viên của Hội đồng Quan hệ Đối ngoại, Pacific Community Ventures, và Tech",0.9306048591020997,0.9373611111111111
"Because if you can't remember where that silo was, you're worthless to us.","Vì nếu mày ko nhớ nổi vị trí mấy cái silo Thì đối với bọn tao, mày vô dụng.",13,"Bởi vì nếu anh không nhớ được cái silo đó ở đâu, anh sẽ vô dụng với",5.110628750793347e-155,0.30449413808076414
Court upholds prison sentence against former HCMC official in murky land handover,Tòa giữ nguyên án tù đối với cựu quan chức TP HCM trong vụ chuyển nhượng đất mờ ám,12,Tòa án chấp nhận án tù giam đối với cựu quan chức HCMC trong vụ lật,0.24978982998684537,0.5176470588235295
Only relevant if it can cause pulmonary edema and delirium.,Nó chỉ có liên quan nếu nó gây ra phù phổi và chứng cuồng sảng.,10,Chỉ có ý nghĩa nếu nó có thể gây ra chảy máu phổi và suy thận.,8.112864620532564e-155,0.4651283112582782
"Precipitation occurs mostly in the austral summer, originating from deep-cell convective activity over the Amazon basin and southerly extension of ITCZ (Intertropical Convergence Zone).","Lượng mưa chủ yếu vào mùa hè phương nam, có nguồn gốc từ hoạt động đối lưu trên bồn địa Amazon và sự mở rộng về phía nam của ITCZ (Đới hội tụ liên nhiệt đới).",24,"Mưa chủ yếu xảy ra vào mùa hè austral, bắt nguồn từ hoạt động của các tế",1.5804585734567727e-78,0.30743316933666176
The story of the raid was documented by the 1955 film called The Dam Busters.,Câu chuyện về các cuộc tấn công đã được mô tả lại trong bộ phim The Dam Busters vào năm 1955.,15,Câu chuyện về cuộc tấn công được ghi lại bởi bộ phim năm 1955 có tên,3.800864909810013e-78,0.49304575690385
"In 2008, the system was brought up to a new level and the resulting language termed ""Pascaline"" (after Pascal's calculator).","Trong năm 2008, hệ thống đã được đưa lên một cấp độ mới và ngôn ngữ kết quả được gọi là ""Pascaline"" (sau khi máy tính của Pascal).",20,"Năm 2008, hệ thống được nâng cấp lên một cấp độ mới và ngôn ngữ",0.24499003836346236,0.48389956341555307
"The pope lamented to John Magee, ""Even the young are killing each other.""","Đức giáo hoàng than thở với John Magee, ""Ngay cả những đứa trẻ cũng đang giết nhau.""",13,"Pope Francis đã chỉ trích John Magee, ""Người trẻ vẫn đang giết nhau",5.5177496865394275e-155,0.2686746987951807
Why didn't she escape?,Sao cô ta lại không trốn?,4,Tại sao cô ấy không thoát được?,1.331960397810445e-231,0.4189435336976321
"""Not Like the Movies"", was released digitally on August 3, 2010, and debuted at number 53 on the Billboard Hot 100.","""Not Like the Movies"" được phát hành dưới dạng kĩ thuật số ngày 3 tháng 8 năm 2010, và mở đầu tại vị trí thứ 53 tại Billboard Hot 100.",21,"""Not Like the Movies"", được phát hành trực tuyến vào ngày 3 tháng 8 năm",0.14893275142684342,0.3820501667391619
In 88 the Fourth participated to the retaliation invasion of Dacia (see Domitian's Dacian War).,"Trong năm 88, quân đoàn thứ tư đã tham gia cuộc xâm lược trả đũa nhằm vào Dacia (xem chiến tranh Dacia lần thứ hai của Domitianus).",15,"Năm 88, người thứ tư tham gia vào cuộc xâm lược Dacia (xem Chiến tranh",2.112991126150572e-78,0.4920107577914886
What kind of game is he playing?,Lại là trò gì của hắn nữa đây?,7,Anh ấy chơi trò gì vậy?,5.431059661402121e-155,0.24038461538461542
Mahalo (6) February 2014 issue] (in Japanese).,Mahalo (6) February 2014 issue] (bằng tiếng Japanese).,7,Mahalo (6 tháng 2 năm 2014) (bằng tiếng Nhật).,6.7393716283177006e-155,0.3155006858710563
The point where the warm front and the occluded front meet (and consequently the nearest location of warm air to the center of the cyclone) is called the triple point.,"Điểm mà tại đó các frông nóng, lạnh và frông hấp lưu gặp nhau (và do đó, vị trí gần nhất của khối khí nóng tới tâm của xoáy tụ) được gọi là điểm hấp lưu hay điểm ba trạng thái.",30,Điểm mà phía đông ấm và phía đông bị lệch (và do đó là vị trí gần nhất,0.054819259685799746,0.24761355628163245
We start our journey in the central deserts.,Ta sẽ bắt đầu từ sa mạc trung tâm.,8,Chúng tôi bắt đầu hành trình ở vùng sa mạc trung tâm.,0.2521193618434983,0.6332138590203108
"And then he looks at me and looks at Donald, and he goes, about one in 1,000.","Ông ấy nhìn tôi rồi nhìn Donald, và ông nói, khoảng 1 trong 1000",17,"Và rồi ông ấy nhìn tôi và nhìn Donald, và ông ấy đi, khoảng một trong 1",0.23183229599938115,0.7148407148407147
"I was just telling these guys about this job that I did in Paris for a couple of months, and this guy, he let me smoke some of this stuff.",Vừa nãy tôi còn ngồi ở đây nói với những người này. Tôi làm việc ở Paris được vài tháng. Sau đó anh ta cho tôi hít thử vài hơi hàng của anh ta.,30,"Tôi chỉ nói với mấy người về công việc mà tôi đã làm ở Paris trong vài tháng,",3.100700494574915e-155,0.22962962962962963
Why don't you tell them the truth.,Sao bà không nói sự thật.,7,Sao anh không nói cho họ sự thật?,7.711523862191631e-155,0.5090725806451614
Rise of the Tomb Raider is an action-adventure video game developed by Crystal Dynamics.,Rise of the Tomb Raider là một trò chơi video phiêu lưu hành động được phát triển bởi Crystal Dynamics.,14,Rise of the Tomb Raider là một trò chơi hành động nhập vai hành động được phát triển,0.5852773369025878,0.7060399917542773
"Nearby localities include Kafr Yahmul and Maarrat al-Ikhwan to the south, Zardana to the southwest, Kafr Halab to the west, Atarib to the northwest, Sarmada to the north, Killi to the northeast, Kaftin to the east and Haranabush to the southeast.","Các địa phương lân cận bao gồm Kafr Yahmul và Maarrat al-Ikhwan ở phía nam, Zardana ở phía tây nam, Kafr Halab ở phía tây, Atarib ở phía tây bắc, Sarmada ở phía bắc, Killi ở phía đông bắc, Kaftin ở phía đông và Haranabush ở phía đông nam.",41,Các địa phương lân cận bao gồm Kafr Yahmul và Maarrat al,0.04139067726436281,0.23142320252494844
"No, no, no. Don't show me specifics.","Không, không, đừng cho tôi xem chi tiết.",7,"Không, không, đừng cho tôi biết chi tiết.",0.5946035575013605,0.864795918367347
"Yeah, it's my pleasure.","Phải, đó là niềm vui của tôi.",4,"Ừ, đó là niềm vui của tôi.",0.8091067115702212,0.8551587301587302
"And of course, as I mentioned before, since we can now start to map brain function, we can start to tie these into the individual cells.","Và dĩ nhiên, như tôi đã nói. vì từ nay chúng ta có thể lập bản đồ chức năng của não bộ, chúng ta có thể bắt đầu kết nối chúng với từng tế bào.",26,"Và tất nhiên, như tôi đã nói trước đây, vì chúng ta có thể bắt đầu đo",0.15544700283882287,0.34837265729585004
"Or we don't know if that fabric is a technological or manufacturing nutrient; it can be reused or does it just end up at landfill? In other words, we're oblivious to the ecological and public health and social and economic justice consequences of the things we buy and use.","Hoặc ta không biết liệu lớp vải đó được tạo từ công nghệ hay sản xuất tự nhiên; nó có thể tái sử dụng hay cuối cùng chỉ thành rác? Nói cách khác, ta chẳng biết gì về mặt sinh học hay sức khỏe cộng đồng hay hậu quả kinh tế và xã hội của những thứ mình mua và sử dụng.",49,Hoặc chúng ta không biết liệu vải đó là một chất dinh dưỡng công nghệ hay sản xuất có,0.0374330670107225,0.17402807830750772
The Foundation and Advanced exams consist of a multiple choice tests.,Các bài thi ở mức độ cơ bản (Foundation exam) và mức độ nâng cao (Advanced exam) là các bài test gồm các câu hỏi có nhiều đáp án (multiple-choice test).,11,Các bài kiểm tra Foundation và Advanced bao gồm các bài kiểm tra nhiều lựa chọn.,3.1770434338676856e-155,0.16257350397786235
Education is something which is central to most people's lives.,Giáo dục như là một thứ trung tâm cho hầu hết đời sống của mọi người .,10,Giáo dục là một thứ quan trọng trong cuộc sống của hầu hết mọi người.,3.9321675624614663e-78,0.5580357142857143
A frequent claim is that the Galway is our only native breed but there were many other types before the famine and many people think that mountain sheep should be recognised.,Một tuyên bố thường xuyên là Galway là giống bản địa duy nhất của chúng tôi nhưng có nhiều loại khác trước nạn đói và nhiều người nghĩ rằng cừu núi nên được công nhận.,31,Một tuyên bố thường xuyên là Galway là giống bản địa duy nhất của chúng ta nhưng có,0.3336307079026335,0.5100948699564616
"Well, at 3, One, 3 start!",- Đếm đến ba. 1... 3... bắt đầu.,6,"Vậy là 3, 1, 3 bắt đầu!",9.709385502639237e-232,0.06329113924050632
I can tell you exactly what it is.,Tôi có thể nói chính xác nó là gì.,8,Tôi có thể nói chính xác nó là gì.,1.0,0.9993141289437586
That vest is how I make it right.,Cái áo vest đó sẽ minh chứng em đã làm đúng.,8,Chiếc áo vest đó là cách tôi làm nó đúng.,3.793792167347796e-78,0.40917431192660547
Through diary know he has a deep hatred for his wife.,Qua nhật ký biết được anh ta có oán thù sâu đậm với vợ.,11,Qua sổ nhật ký biết rằng ông ấy có một sự căm thù sâu sắc đối với vợ mình,3.0957805077256552e-78,0.484375
Which is why it's not your life she's threatening.,Thế nên đó là tại sao cô ta không chỉ đe dọa mạng sống của cậu,9,Đó là lý do không phải cuộc sống của cô ấy đe dọa.,5.244536052132978e-155,0.36461718445339913
"A striking example of this fact is Upgren 1; initially, it was suggested that this small group of seven F stars was the remnant of an old cluster (Upgren & Rubin 1965) but later, Gatewood et al.","Một ví dụ nổi bật của thực tế này là Upgren 1; ban đầu, có ý kiến cho rằng nhóm nhỏ gồm 7 ngôi sao F này là tàn dư của một cụm sao cũ (Upgren & Rubin 1965) nhưng sau đó, Gatewood et al.",37,"Một ví dụ điển hình của sự thật này là Upgren 1; ban đầu, được",0.05726277463535455,0.2232142857142857
You gave me a fright there.,Bạn đã cho tôi một sợ có.,6,Anh đã làm tôi sợ hãi ở đó.,1.4256605770826504e-231,0.2112676056338028
Some stores charge a nominal fee for a bag.,Một số cửa hàng tính phí danh nghĩa cho một túi.,9,Một số cửa hàng tính phí một khoản tiền nhỏ cho một túi.,0.48442732379638637,0.7886904761904763
Maybe the fight'll make a difference and something would change.,Có lẽ trận đấu sẽ tạo nên 1 sự khác biệt và điều gì đó sẽ thay đổi.,10,Có lẽ cuộc chiến sẽ làm thay đổi và có gì đó sẽ thay đổi.,0.24668689088414938,0.46488107693380754
This town loves a psychopath.,Thị trấn này thích một tên tâm thần.,5,Thành phố này yêu thích một tên điên.,4.797597231912944e-78,0.46875
Six years times three weeks-- you owe me better than four months.,"6 năm, mỗi năm 3 tuần. Anh còn nợ tôi hơn 4 tháng.",12,Sáu năm lần ba tuần... anh nợ em hơn bốn tháng.,1.1795395762188e-231,0.19531250000000003
Also cannot to scold year grown ajussi.,Cũng không thể để scold năm phát triển ajussi.,7,Cũng không thể để cho năm già akussi bị phạt.,0.2777619034011791,0.5318681318681319
And you just lost that privilege.,Và ông vừa mới bị mất đặc quyền đó rồi.,6,Và anh đã mất đi quyền lợi đó.,1.1103055738259992e-231,0.1530612244897959
By 09:00 Admiral Dewa was close enough to make out the Russian fleet through the morning mist.,"Cho đến 9 giờ, Phó Đô đốc Dewa đã đến đủ gần để nhìn thấy hạm đôi Nga qua làn sương mờ buổi sáng.",17,"Đến 09 giờ 00, Đô đốc Dewa đã ở gần đủ gần để nhìn thấy",0.22617535972077077,0.42705627705627713
These were as essential to the success of the Roman Empire as the interstate highway system to the prosperity and development of the United States.,Đây là những điều thiết yếu dẫn đến thành công của Đế chế Roma như hệ thống đường cao tốc liên bang cho sự thịnh vượng và phát triển của nước Mỹ.,25,Những hệ thống này là cần thiết cho sự thành công của Đế quốc La Mã như hệ thống,0.1083599233118603,0.3329714078899747
Tell the world you are the cruelest of all.,Hãy cho thế giới biết bạn là ác độc nhất.,9,Nói với thế giới rằng anh là kẻ tàn nhẫn nhất.,6.513869329968086e-155,0.31250000000000006
"During that time, Baldwin escorted Bon Homme Richard to the Panama Canal Zone and operated off the east coast in the antisubmarine screens of the aircraft carriers Boxer and Card.",Trong giai đoạn này nó đã hộ tống tàu sân bay Bon Homme Richard đi đến vùng kênh đào Panama và hoạt động ngoài khơi vùng bờ Tây trong thành phần hộ tống chống tàu ngầm cho các tàu sân bay Boxer and Card.,30,"Trong thời gian đó, Baldwin hộ tống Bon Homme Richard đến Vùng kênh đào Panama và",0.045090006385559746,0.27305825242718446
"He became a cultural icon for his portrayal of James T. Kirk, Captain of the USS Enterprise, in the Star Trek franchise.","Ông đã trở thành một biểu tượng văn hóa với vai diễn James T. Kirk, thuyền trưởng tàu USS Enterprise trong phim Star Trek.",22,"Ông trở thành một biểu tượng văn hóa cho vai diễn của James T. Kirk, Thuyền trưởng",0.3177761195202911,0.6376728659990464
I may have sold him a very expensive wool rug... that was made from the fur of a skunk... 's butt.,Có lẽ là do tôi đã bán cho ông ấy một cái thảm rất đắt tiền được làm từ lông mông của một con chồn hôi.,21,Tôi có thể đã bán cho hắn một cái thảm lông xù rất đắt tiền... được làm từ,3.729976718155615e-78,0.5037252996436669
It's the worst soil in the county.,Đó là cái mẫu đất tệ hại nhất trong đất nước này.,7,Đây là vùng đất tồi tệ nhất trong quận.,5.486770126343343e-155,0.31794871794871804
"The guy has no idea what to do. (Laughter) ""Maestro, with all due respect, when should I start?""","Anh chàng ấy không biết phải làm gì (cười) ""Nhạc trưởng, với tất cả sự kính trọng, khi nào thì tôi nên bắt đầu?""",18,"Người này không biết phải làm gì. (Cười) ""Maestro, với tất",0.08557992449281125,0.2962330306571968
"GetDarker An online magazine full of interviews, articles, photos from events and videos. 10 Years of ...","GetDarker Tạp chí online với các bài phỏng vấn, bài viết, ảnh về sự kiện và video 10 Years of ...",17,"GetDarker Một tạp chí trực tuyến đầy những cuộc phỏng vấn, bài viết, hình",0.1193347848469297,0.3312556549713481
So I need you to do something for me so we don't create any dangerous situations.,Nên tôi cần ông làm vài điều giúp tôi để ta không rơi vào tình thế nguy hiểm nào.,16,Tôi cần anh làm gì đó cho tôi để chúng ta không tạo ra bất kỳ tình huống nguy,6.937383209327784e-155,0.40350877192982454
"Well let's do that. A sixth of a turn, followed by a third of a turn, the combined effect is as if I had just rotated it by half a turn in one go.","Hãy làm thế. Xoay 1/6 vòng, rồi xoay 1/3 vòng, kết quả có được là nó giống như thể tôi đã xoay nó nửa vòng trong một lần xoay.",34,"Hãy làm điều đó. Một sáu bước, sau đó là một ba bước, hiệu ứng kết",2.514766346395224e-155,0.13429602888086645
She promised him the exclusive rights to her story of revenge.,Cô ấy hứa ông ta sẽ được độc quyền câu chuyện báo thù của mình.,11,Cô ấy hứa với anh ta quyền độc quyền câu chuyện trả thù.,0.24794277351227223,0.5262880067567567
- Lots of things can cause pneumothorax.,- Nhiều bệnh có thể gây tràn khí ngực lắm.,7,- Rất nhiều thứ có thể gây ra bệnh viêm phổi.,3.8719283242189536e-78,0.5060506050605059
Leaves energy decisions to individual choices.,Đặt các quyết định về năng lượng vào tay các cá nhân.,6,Bỏ qua các quyết định năng lượng cho các lựa chọn cá nhân.,4.513300825451574e-78,0.6198347107438016
"In school, if you make a mistake, you can just try again tomorrow.","Ở trường thì, nếu bạn mắc sai lầm, bạn có thể thử lại lần nữa.",13,"Trong trường, nếu bạn mắc sai lầm, bạn có thể thử lại vào ngày mai.",0.6262844962765469,0.6663333333333333
Preceded by CIG de Malley Lausanne Saporta Cup Final Venue 2001 Succeeded by Palais des Sports de Gerland Lyon,Tiền nhiệm CIG de Malley Lausanne Cup Saporta Địa điểm cuối cùng 2001 Kế nhiệm Palais des Sports de Gerland Lyon,19,Được dẫn đầu bởi CIG de Malley Lausanne Saporta Cup Final Venue,0.11082829540109852,0.21213377556661137
- He went out with my wife.,Hắn đi chơi với vợ tôi!,7,- Hắn đi chơi với vợ tôi.,0.6147881529512643,0.8163934426229508
"Your genetic information is strung into a long and twisted molecule, the DNA double helix, that has over three billion letters, beginning to end.","Thông tin di truyền của bạn được gắn vào chuỗi phân tử dài và xoắn, chuỗi xoắn kép DNA có khoảng hơn ba tỷ kí hiệu, kéo dài tới cả hai đầu.",24,"Thông tin di truyền của bạn được đưa vào một phân tử dài và xoắn ốc, DN",0.21412403236698788,0.40527694247744683
I told you this was a bad idea.,Em đã nói đây không phải ý hay mà.,8,Tôi đã nói với cô rằng đây là một ý tồi.,6.513869329968086e-155,0.34307065217391297
"On the night of 3–4 April 1945, the Germans carried out Operation Walpurgisnacht, during which thousands of soldiers and refugees were transported from Gdynia to Hela.","Vào đêm 3 tháng 4 năm 1945, người Đức đã thực hiện Chiến dịch Walpurgisnacht, trong đó hàng ngàn binh lính và người tị nạn đã được vận chuyển từ Gdynia đến Hela.",26,"Vào đêm 3–4 tháng 4 năm 1945, người Đức thực hiện Chiến dịch",0.13385483764885042,0.3730958781362007
"Some 1,710 towns and 70 thousand settlements were destroyed.",Khoảng 1.710 thị trấn và 70 nghìn khu nhà cửa bị phá huỷ.,9,Một số 1.710 thị trấn và 70 ngàn khu định cư đã bị phá,0.3161487584488943,0.5945849236641223
"D-Day: June 6, 1944 -- The Climactic Battle of WWII.",D-Day ngày 6 tháng 6 năm 1944: The Climactic Battle of WWII.,10,D-Day: 6 tháng 6 năm 1944 - Trận chiến địa chấn của,0.21200626759025185,0.33072916666666663
"In the mid-1970s, Webb served a two-year prison term in New York state prison.","Vào giữa những năm 1970, Webb đã thụ án hai năm tù tại nhà tù bang New York.",14,"Vào giữa những năm 1970, Webb đã phục vụ hai năm tù giam tại nhà",0.4342240559604221,0.6654111738857501
And you can not do anything to stop us.,Và ông ko thể làm gì để ngăn tôi lại đâu.,9,Và anh không thể làm gì ngăn cản chúng tôi.,3.793792167347796e-78,0.40917431192660547
"On the other hand, grappling also offers the possibility of controlling an opponent without injuring them.","Mặt khác, Grappling đưa ra khả năng kiểm soát đối thủ mà không làm họ bị thương.",16,"Tuy nhiên, đấu vật cũng cung cấp khả năng kiểm soát đối phương mà không làm tổn thương",0.2689054715066593,0.4641812865497076
* including one medal in the relay event in which he participated in the heats only,* bao gồm một huy chương tiếp sức mà chỉ tham dự ở vòng loại,16,* bao gồm một huy chương trong cuộc thi chạy mà anh tham gia thi đấu chỉ một lần,0.27602580646531577,0.4978354978354978
"In addition, many kelp species have pneumatocysts, or gas-filled bladders, usually located at the base of fronds near the stipe.","Ngoài ra, nhiều loài tảo bẹ còn có pneumatocysts, hay còn gọi là những bong bóng lọc khí, thường nằm ở đầu frond gần với stipe.",20,"Ngoài ra, nhiều loài cá có pneumatocyst, hoặc các bậc thang gas,",0.06980705362777755,0.19674796747967482
"According to the Bali Road Map, a framework for climate change mitigation beyond 2012 was to be agreed there.","Theo lộ trình Bali, chương trình khung về giảm thiểu biến đổi khí hậu trước năm 2012 sẽ được đưa ra ở hội nghị này.",19,"Theo bản đồ đường đi Bali, một khung pháp lý cho việc ứng phó với biến đổi khí",1.841953950845489e-78,0.21033379058070414
And this is the famous Michigan Theater.,Còn đây là Nhà hát Michigan nổi tiếng.,7,Và đây là Nhà hát nổi tiếng Michigan.,0.3655552228545123,0.605
He is arrogant and always looks down upon others.,Anh ta kiêu ngạo và luôn coi thường người khác.,9,Ông ta kiêu ngạo và luôn nhìn xuống những người khác.,0.40352786374639904,0.6849868660335421
"You may have seen this in other forms, but the top line is the amount of protected area on land, globally, and it's about 12 percent.","Bạn có thể thấy cái này trong nhiều dạng hình khác nhau, nhưng đường trên cùng biểu thị diện tích được bảo vệ trên đất liền trên toàn thế giới, nó chiếm khoảng 12%.",26,"Bạn có thể đã thấy nó ở các dạng khác, nhưng hàng đầu là số lượng khu vực",1.161096256951259e-78,0.17668178382464092
And maybe some of our terrestrial squabbles don't seem as important after having flown to the Moon than they did before.,Và có lẽ một vài cuộc cãi vã của chúng ta dường như không còn quan trọng sau khi bay lên Mặt Trăng hơn trước đây. Chúng ta đã biết được nhiều điều về Mặt Trăng nhưng chúng ta thực sự biết được gì về Trái Đất.,21,Và có lẽ một số vụ tranh cãi trên mặt đất của chúng ta không có ý nghĩa gì,0.04590512153569442,0.18071500691821543
- They didn't have flashlights?,- Họ không có đèn pin sao?,5,- Họ không có đèn flash sao?,0.6434588841607617,0.8412698412698414
"By ""them"" you mean people like me?","- ""Họ"" nghĩa là người như tôi à?",7,"Bằng ""chúng"" anh có nghĩa là những người như tôi?",8.14486865257726e-155,0.45731707317073167
"♪ The taste of free will, ♪",♪ Jo Zaayka Manmaaniyon ♪ Hương vị của sự tự do này,7,"Cái vị của sự tự do,",0.18693159143202892,0.34813596491228066
"The deserts of Peru are amongst the driest in the world, but just add a little water and plants that have lain dormant for months will burst into life.","Các sa mạc ở Peru nằm trong số những sa mạc khô nhất trên thế giới, nhưng chỉ cần cho vào một ít nước, các thực vật nằm yên trong nhiều tháng sẽ bùng nổ sự sống.",29,"Các sa mạc Peru nằm trong số những nơi ẩm nhất trên thế giới, nhưng chỉ cần thêm",0.20989952030348888,0.4056346945235834
This rate is over 30 times higher than the overall fatality rate.,Tỉ lệ này cao gấp 30 lần tỉ lệ tử vong chung.,12,Tỷ lệ này cao hơn 30 lần so với tỷ lệ tử vong toàn bộ.,5.053216933905455e-78,0.6332571138211383
"Uh, would you like to call somebody?",Anh có định gọi cho ai không?,7,"Uh, anh muốn gọi cho ai không?",0.41113361690051975,0.6914285714285714
There was so much to learn.,Có quá nhiều thứ để học.,6,Có rất nhiều điều để học hỏi.,1.4740564900137075e-231,0.24590163934426232
The convoy was not spotted by the Germans and arrived at the Kola Inlet without incident on 25 December.,"Đoàn tàu vận tải đã không bị Đức phát hiện, và đi đến Kola Inlet bình yên vào ngày 25 tháng 12.",19,Chuyến tàu không được phát hiện bởi người Đức và đến Kola Inlet mà không có bất,2.277547228936875e-78,0.2936046511627907
"Now, I'm going to approach, and before we start, I want to make sure that we do this in very, very serious conditions.","Tuyệt. Giờ tôi sẽ bước tới, và trước khi bắt đầu, tôi muốn chắc chắn rằng chúng ta vẫn đang rất nghiêm túc.",23,"Tôi sẽ tiếp cận, và trước khi bắt đầu, tôi muốn đảm bảo rằng chúng ta làm",0.3081030683406909,0.5315290178571428
He will keep her out of any real mischief.,Anh ta sẽ đảm bảo cho nó tránh khỏi những điều phiền hà.,9,Hắn sẽ ngăn cô ấy khỏi bất cứ sự quấy rầy nào thật sự.,1.1200407237786664e-231,0.07633587786259544
"And the waves we surf, created by wind, are just one visible part of the continuous oscillation of energy that has shaped our universe since its very beginning.","Và việc sóng bắt đầu từ gió, chỉ là bề nổi của dao động năng lượng liên tục, thứ từng định hình vũ trụ từ buổi ban sơ.",28,"Và những sóng chúng tôi lướt, tạo ra bởi gió, chỉ là một phần nhỏ của sự",1.4891975123249844e-78,0.1900041305245766
"Sicily was ruled by Norman warlords at the time, and Princess Adelaide del Vasto brought to Sicily her retinue, including a number of knights and their horses.","Sicily được cai trị bởi các lãnh chúa Norman vào thời điểm đó, và Công chúa Adelaide del Vasto đã mang dàn hộ vệ đến Sicily, bao gồm một số hiệp sĩ và những con ngựa của họ.",27,"Sicilia được cai trị bởi các vị vua Norman vào thời điểm đó, và Công chúa Adelaide",0.20249828464078196,0.3854243647319652
"She then gave Portuguese lessons at the secondary school Francisco Manyanga for the time being, when David Simango was head of the school.","Sau đó, cô đã học các bài học tiếng Bồ Đào Nha tại trường trung học Francisco Manyanga, khi David Simango là người đứng đầu trường.",23,"Sau đó, cô dạy tiếng Bồ Đào Nha tại trường trung học Francisco Manyanga cho đến thời",0.33188525889575093,0.4769809650287739
Do Japanese children really paint the sun red?,Có phải trẻ con người Nhật thật sự thích tô mặt trời màu đỏ?,8,Con người Nhật Bản thật sự vẽ mặt trời đỏ sao?,7.222677458177912e-155,0.49083867123491726
They had domestic concerns as well which helps explain why they kept the bombing of Cambodia a secret.,Họ cũng có những mối bận tâm nội bộ giải thích lý do họ cố gắng giữ bí mật việc thả bom ở Campuchia càng lâu càng tốt.,18,Họ cũng có những mối quan tâm trong nước cũng giúp giải thích tại sao họ giữ vụ đánh,0.14839290005301392,0.3057195571955719
You'll need it.,Rồi cháu sẽ cần đến nó.,3,Anh sẽ cần nó.,6.397495320955232e-155,0.4406130268199233
And we will tell this to no one.,Và sẽ không cho ai biết chuyện này.,8,Và chúng tôi sẽ không nói cho ai biết.,9.106239987484608e-155,0.5506172839506173
You want the mutants?,Ông muốn đám đột biến hả?,4,Anh muốn bọn sát nhân sao?,1.1640469867513693e-231,0.08333333333333333
"In ""A London Carol"", an alternate future shows that Cody and Bailey are married, although the present Cody and Bailey are still separated.","Trong tập ""A London Carol"", tương lai cho thấy rằng Bailey và Cody sẽ lấy nhau, mặc dù cả hai trong thời điểm đó đã chia tay.",23,"Trong ""A London Carol"", một tương lai khác cho thấy rằng Cody và Bailey đã",2.563573057707289e-78,0.4451630659144076
Very few great innovations in this world have come from someone succeeding on the first try.,Có rất ít các cuộc cách mạng vĩ đại trên thế giới này có được từ những người thành công ngay từ lúc đầu.,16,Rất ít những phát minh vĩ đại trong thế giới này đến từ một người thành công trên lần,3.558153181974832e-78,0.5100088127911367
After 90 minutes the score was 2-2.,"Sau 90 phút đá chính, tỉ số là 2–2.",7,"Sau 90 phút, tỷ số là 2-2.",7.405395403197815e-155,0.42613636363636365
